item;target;kontext;frage;A1;A2;A3;A4;A5;A6;comments
1;Hunde die Bellen beißen nicht;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;Weil Oskar glaubt, dass Pauls Vorgesetzter seinem Wunsch zustimmen wird.;Weil Oskar glaubt, Paul sollte mit der Frage warten, bis sein Vorgesetzter weniger Stress hat.;Weil Oskar glaubt, dass Paul von lauten Tieren nicht verletzt werden wird.   ;Weil Vierbeiner ungefährlich werden, wenn sie zum Bellen ihre ganze Energie verbrauchen.;Weil Oskar weiß, dass Paul den Joghurt aus dem Kühlschrank im Büro klaut.;Weil auf dem Parkplatz gerade zwei Autos zusammengestoßen sind.;"frage ST: weil ihr Chef gerade sehr gestresst ist > steht das pronomen aus irgendwelchen gründen in feminin hier? finde das sehr verwirrend, auch wenn es vielleicht heiszen kann, dasz auch frauen paul heiszen, ich kenne zumindest eine. die referenz auf einen gemeinsamen chef [ihr, 2.Pl] ist jdfs. sehr dünn bzw. 0, die anderen referenzen auf [paul] sind maskulin.
frage ST: weil ihr Chef gerade sehr gestresst ist > steht das pronomen aus irgendwelchen gründen in feminin hier? finde das sehr verwirrend, auch wenn es vielleicht heiszen kann, dasz auch frauen paul heiszen, ich kenne zumindest eine. die referenz auf einen gemeinsamen chef [ihr, 2.Pl] ist jdfs. sehr dünn bzw. 0, die anderen referenzen auf [paul] sind maskulin."
1;Hunde die Bellen beißen nicht;Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig, dann sollte ich mutig sein.;Warum sagt Oskar, Hunde die bellen, beißen nicht?;Weil Oskar glaubt, dass Pauls Vorgesetzter seinem Wunsch zustimmen wird.;Weil Oskar glaubt, Paul sollte mit der Frage warten, bis sein Vorgesetzter weniger Stress hat.;Weil Oskar glaubt, dass Paul von lauten Tieren nicht verletzt werden wird.   ;Weil Vierbeiner ungefährlich werden, wenn sie zum Bellen ihre ganze Energie verbrauchen.;Weil Oskar weiß, dass Paul den Joghurt aus dem Kühlschrank im Büro klaut.;Weil auf dem Parkplatz gerade zwei Autos zusammengestoßen sind.;"frage ST: weil ihr Chef gerade sehr gestresst ist > steht das pronomen aus irgendwelchen gründen in feminin hier? finde das sehr verwirrend, auch wenn es vielleicht heiszen kann, dasz auch frauen paul heiszen, ich kenne zumindest eine. die referenz auf einen gemeinsamen chef [ihr, 2.Pl] ist jdfs. sehr dünn bzw. 0, die anderen referenzen auf [paul] sind maskulin.
frage ST: weil ihr Chef gerade sehr gestresst ist > steht das pronomen aus irgendwelchen gründen in feminin hier? finde das sehr verwirrend, auch wenn es vielleicht heiszen kann, dasz auch frauen paul heiszen, ich kenne zumindest eine. die referenz auf einen gemeinsamen chef [ihr, 2.Pl] ist jdfs. sehr dünn bzw. 0, die anderen referenzen auf [paul] sind maskulin."
2;Wer im Glashaus sitzt soll nicht mit Steinen werfen;Katja und Lulu sind miteinander befreundet und reden über ihrer Ehemänner. Katja überlegt, ihren zu Mann verlassen, weil er sie kürzlich betrogen hat. Katja fragt Lulu: Soll ich jetzt die Scheidung einreichen? Lulu antwortet: Wer im Glashaus sitzt, sollte nicht mit Steinen werfen. Katja antwortet: Ja, dann denke ich nochmal darüber nach.;Warum sagt Lulu, wer im Glashaus sitzt, sollte nicht mit Steinen werfen?;Weil Lulu weiß, dass Katja ihren Mann ebenfalls betrogen hat.;Weil Lulu glaubt, dass Katja ihren Mann nicht noch einmal betrügen wird.;Weil Lulu nicht möchte, dass Katja die Scheiben kaputt macht.;Weil Lulu weiß, dass Katja nicht gut zielen kann.;Weil in der Ehe oft mit Gegenständen geworfen wird.;Weil jemand bei Rot über die Ampel gefahren ist.;
2;Wer im Glashaus sitzt soll nicht mit Steinen werfen;Katja und Lulu sind miteinander befreundet und reden über ihrer Ehemänner. Katja überlegt, ihren zu Mann verlassen, weil er sie kürzlich betrogen hat. Katja fragt Lulu: Soll ich jetzt die Scheidung einreichen? Lulu antwortet: Wer im Glashaus sitzt, sollte nicht mit Steinen werfen. Katja antwortet: Ja, dann denke ich nochmal darüber nach.;Warum sagt Lulu, wer im Glashaus sitzt, sollte nicht mit Steinen werfen?;Weil Lulu weiß, dass Katja ihren Mann ebenfalls betrogen hat.;Weil Lulu glaubt, dass Katja ihren Mann nicht noch einmal betrügen wird.;Weil Lulu nicht möchte, dass Katja die Scheiben kaputt macht.;Weil Lulu weiß, dass Katja nicht gut zielen kann.;Weil in der Ehe oft mit Gegenständen geworfen wird.;Weil jemand bei Rot über die Ampel gefahren ist.;
3;Steter Tropfen höhlt den Stein;Tom und Anna haben beide Klavierunterricht und lernen gerade das gleiche Musikstück. Tom spielt es aber nicht so gut wie Anna, weil er nicht so viel übt wie sie. Tom sagt zu Anna: Das Klavierstück werde ich niemals so gut spielen wie du. Anna antwortet: Steter Tropfen höhlt den Stein. Tom sagt darauf: Ja, das ist richtig.;Warum sagt Anna, steter Tropfen höhlt den Stein?;Weil Anna glaubt, dass Tom sich mehr anstrengen sollte.;Weil Anna glaubt, dass Tom kein Talent hat.;Weil Anna glaubt, dass Tom undicht wird.;Weil Tom ein Fels ist. ;Weil Anna glaubt, dass das Orchester im nächsten Jahr auf Tournee gehen wird.;Weil im Zoo das Affenhaus im Winter geschlossen ist.;
3;Steter Tropfen höhlt den Stein;Tom und Anna haben beide Klavierunterricht und lernen gerade das gleiche Musikstück. Tom spielt es aber nicht so gut wie Anna, weil er nicht so viel übt wie sie. Tom sagt zu Anna: Das Klavierstück werde ich niemals so gut spielen wie du. Anna antwortet: Steter Tropfen höhlt den Stein. Tom sagt darauf: Ja, das ist richtig.;Warum sagt Anna, steter Tropfen höhlt den Stein?;Weil Anna glaubt, dass Tom sich mehr anstrengen sollte.;Weil Anna glaubt, dass Tom kein Talent hat.;Weil Anna glaubt, dass Tom undicht wird.;Weil Tom ein Fels ist. ;Weil Anna glaubt, dass das Orchester im nächsten Jahr auf Tournee gehen wird.;Weil im Zoo das Affenhaus im Winter geschlossen ist.;
4;Die dümmsten Bauern ernten die dicksten Kartoffeln;Sven und Karla arbeiten in einer Firma und unterhalten sich über ihren Kollegen Andreas. Andreas ist faul und überlässt seine Arbeit gerne anderen. Heute hat Andreas gekündigt, weil er eine Million Euro in der Lotterie gewonnen hat. Sven sagt zu Karla: Es ist kaum zu glauben, dass ausgerechnet Andreas soviel Glück hatte, oder? Karla antwortet: Die dümmsten Bauern ernten die dicksten Kartoffeln. Sven sagt: Ja, das hat sich wieder einmal bestätigt.;Warum sagt Karla, die dümmsten Bauern ernten die dicksten Kartoffeln?;Weil Karla glaubt, dass Andreas das Geld nicht verdient hat.;Weil Karla möchte, dass Andreas nicht mehr arbeitet.;Weil Karla glaubt, dass Andreas ein Landwirt ist.;Weil Andreas riesige Erdäpfel anbaut.;Weil die Reparatur des Traktors sehr teuer war.;Weil diese Woche Haferflocken  im Sonderangebot sind.;
4;Die dümmsten Bauern ernten die dicksten Kartoffeln;Sven und Karla arbeiten in einer Firma und unterhalten sich über ihren Kollegen Andreas. Andreas ist faul und überlässt seine Arbeit gerne anderen. Heute hat Andreas gekündigt, weil er eine Million Euro in der Lotterie gewonnen hat. Sven sagt zu Karla: Es ist kaum zu glauben, dass ausgerechnet Andreas soviel Glück hatte, oder? Karla antwortet: Die dümmsten Bauern ernten die dicksten Kartoffeln. Sven sagt: Ja, das hat sich wieder einmal bestätigt.;Warum sagt Karla, die dümmsten Bauern ernten die dicksten Kartoffeln?;Weil Karla glaubt, dass Andreas das Geld nicht verdient hat.;Weil Karla möchte, dass Andreas nicht mehr arbeitet.;Weil Karla glaubt, dass Andreas ein Landwirt ist.;Weil Andreas riesige Erdäpfel anbaut.;Weil die Reparatur des Traktors sehr teuer war.;Weil diese Woche Haferflocken  im Sonderangebot sind.;
5;Wenn die Katze aus dem Haus ist, tanzen die Mäuse auf dem Tisch.;Die Eltern von Max und Moritz sind übers Wochenende weggefahren. Immer wenn die Eltern weg sind, kommen abends Oma und Opa vorbei, um Max und Moritz ins Bett zu bringen. Als Oma und Opa kommen, liegen Max und Moritz auf dem Sofa, essen Süßigkeiten und gucken Fernsehen. Oma: „Na sowas! Um diese Uhrzeit dürfen die Jungs doch kein Fernsehen mehr gucken.“ Opa: „Ja, das stimmt. Wenn die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch.“ Oma: „Das kann man wohl sagen!“;Warum sagt Opa, Wenn die Katze aus dem Haus ist, tanzen die Mäuse auf dem Tisch“?;Weil Max und Moritz sich nicht an die Regeln halten, wenn die Eltern nicht da sind.;Weil Max und Moritz sich ordentlich benehmen, wenn die Eltern nicht da sind.;Weil Opa glaubt, dass die Tiere auf den Möbeln herumspringen.;Weil Opa beobachtet hat, dass kleine Tiere von großen gejagt werden.;Weil Opa gerne Süßigkeiten essen möchte.;Weil Opa noch nichts zum Abendbrot gegessen hat und hungrig ist.;
5;Wenn die Katze aus dem Haus ist, tanzen die Mäuse auf dem Tisch.;Die Eltern von Max und Moritz sind übers Wochenende weggefahren. Immer wenn die Eltern weg sind, kommen abends Oma und Opa vorbei, um Max und Moritz ins Bett zu bringen. Als Oma und Opa kommen, liegen Max und Moritz auf dem Sofa, essen Süßigkeiten und gucken Fernsehen. Oma: „Na sowas! Um diese Uhrzeit dürfen die Jungs doch kein Fernsehen mehr gucken.“ Opa: „Ja, das stimmt. Wenn die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch.“ Oma: „Das kann man wohl sagen!“;Warum sagt Opa, Wenn die Katze aus dem Haus ist, tanzen die Mäuse auf dem Tisch“?;Weil Max und Moritz sich nicht an die Regeln halten, wenn die Eltern nicht da sind.;Weil Max und Moritz sich ordentlich benehmen, wenn die Eltern nicht da sind.;Weil Opa glaubt, dass die Tiere auf den Möbeln herumspringen.;Weil Opa beobachtet hat, dass kleine Tiere von großen gejagt werden.;Weil Opa gerne Süßigkeiten essen möchte.;Weil Opa noch nichts zum Abendbrot gegessen hat und hungrig ist.;
6;Eine Krähe hackt der anderen kein Auge aus.;Auf der Arbeit im Pausenraum ist die neue Kaffeemaschine kaputt gegangen. Die Chefin verspricht eine große Belohnung für die Person, die ihr erzählt wem die Kaffeemaschine kaputt gegangen ist. Sabine: “Glaubst du jemand wird zur Chefin gehen und sagen wer es war?” Paula: “Auf keinen Fall. Eine Krähe hackt der anderen doch kein Auge aus.” Sabine: “Hm, da bin ich mir nicht so sicher.”;Warum sagt Paula, Eine Krähe hackt der anderen doch kein Auge aus?;Weil Paula glaubt, dass die Kolleginnen  zusammenhalten und sich nicht gegenseitig bei ihrer Vorgesetzten verraten.;Weil Paula denkt, dass die Kolleginnen nicht zusammenhalten und sich gegenseitig verraten würden.;Weil Paula weiß, dass Vögel friedlich miteinander umgehen.;Weil Paula beobachtet hat, dass Tiere der selben Art versuchen sich beim Kampf nicht ernsthaft zu verletzen.;Weil Paula weiß, dass Sabine heute Spätschicht hat und noch lange in der Firma sein wird.;Weil Paula weiß, dass Sabine morgen Geburtstag hat.;
6;Eine Krähe hackt der anderen kein Auge aus.;Auf der Arbeit im Pausenraum ist die neue Kaffeemaschine kaputt gegangen. Die Chefin verspricht eine große Belohnung für die Person, die ihr erzählt wem die Kaffeemaschine kaputt gegangen ist. Sabine: “Glaubst du jemand wird zur Chefin gehen und sagen wer es war?” Paula: “Auf keinen Fall. Eine Krähe hackt der anderen doch kein Auge aus.” Sabine: “Hm, da bin ich mir nicht so sicher.”;Warum sagt Paula, Eine Krähe hackt der anderen doch kein Auge aus?;Weil Paula glaubt, dass die Kolleginnen  zusammenhalten und sich nicht gegenseitig bei ihrer Vorgesetzten verraten.;Weil Paula denkt, dass die Kolleginnen nicht zusammenhalten und sich gegenseitig verraten würden.;Weil Paula weiß, dass Vögel friedlich miteinander umgehen.;Weil Paula beobachtet hat, dass Tiere der selben Art versuchen sich beim Kampf nicht ernsthaft zu verletzen.;Weil Paula weiß, dass Sabine heute Spätschicht hat und noch lange in der Firma sein wird.;Weil Paula weiß, dass Sabine morgen Geburtstag hat.;
7;Wenn das Kind ertrunken ist, deckt man den Brunnen zu.;Anna und Bernd spazieren durchs Dorf und unterhalten sich. An der alten Straßenkreuzung bleiben sie stehen und schauen sich die neu gebaute Ampel an. Anna: ”Schade das die Ampel letzten Monat noch nicht da war, das hätte den Zusammenstoß der zwei Autos bestimmt verhindert.” Bernd: “Das stimmt, erst wenn das Kind ertrunken ist, deckt man den Brunnen zu.” Anna: “Ja, leider.”;Warum sagt Bernd, Erst wenn das Kind ertrunken ist, deckt man den Brunnen zu?;Weil die Straße erst sicher gemacht wurde, nachdem der Unfall passiert ist.;Weil Bernd denkt, dass der Unfall nicht verhindert werden konnte.;Weil Bernd glaubt, dass eine Wasserstelle geschlossen wird, sobald dort jemand stirbt.;Weil Bernd glaubt, dass größere Löcher im Boden gefährlich sind.;Weil Wasser aus der Erde geholt wird.;Weil Bern heute seinen Terminkalender verloren hat.;
7;Wenn das Kind ertrunken ist, deckt man den Brunnen zu.;Anna und Bernd spazieren durchs Dorf und unterhalten sich. An der alten Straßenkreuzung bleiben sie stehen und schauen sich die neu gebaute Ampel an. Anna: ”Schade das die Ampel letzten Monat noch nicht da war, das hätte den Zusammenstoß der zwei Autos bestimmt verhindert.” Bernd: “Das stimmt, erst wenn das Kind ertrunken ist, deckt man den Brunnen zu.” Anna: “Ja, leider.”;Warum sagt Bernd, Erst wenn das Kind ertrunken ist, deckt man den Brunnen zu?;Weil die Straße erst sicher gemacht wurde, nachdem der Unfall passiert ist.;Weil Bernd denkt, dass der Unfall nicht verhindert werden konnte.;Weil Bernd glaubt, dass eine Wasserstelle geschlossen wird, sobald dort jemand stirbt.;Weil Bernd glaubt, dass größere Löcher im Boden gefährlich sind.;Weil Wasser aus der Erde geholt wird.;Weil Bern heute seinen Terminkalender verloren hat.;
8;Wer anderen eine Grube gräbt, fällt selbst hinein.;Anton will seiner Schwester Lotta ein Bein stellen. Doch als er es machen will gerät er aus dem Gleichgewicht und fällt selbst auf den Boden. Anton: “Oh man, wie konnte das nur passieren. Lotta: ”Tja, wer anderen eine Grube gräbt, fällt selbst hinein.” Anton: ”Ja, aber wirklich.”;Warum sagt Lotta, wer anderen eine Grube gräbt, fällt selbst hinein?;Weil Lotta findet, dass Anton selber Schuld ist, dass er gestürzt ist.;Weil Lotta denkt, dass sie Anton zum stürzen gebracht hat.;Weil Anton in sein eigenes Loch gefallen ist.;Weil Anton in das Loch gefallen ist, das er für Lotta gebuddelt hat.;Weil Lotta möchte, dass Anton mit ihr spielt.;Weil Lotta letzte Nacht schlecht geschlafen hat.;Wenn wir clanging weiterhin so streng vermeiden wollen, müssen Proband:innen bei konkretistischen Antworten A3/A4 den Transfer von Grube (Sprichwort, Kontext) zu Loch (Antwort) schaffen. Ist es das wert?  //dyke
