context2022;;;;;;;;;;
itemtabelle_20220203_GR4;;;;;;;;;;
item;target;kontext;frage;A1 figurativ, korrekt;A2 figurativ, inkorrekt;A3 konkret 1;A4 konkret 2;A5 Distraktor 1;A6 Distraktor 2;comments
17;Ungeduld hat häufig Schuld;(1) Karin steht mit ihrer besten Freundin Lisa in einer langen Schlange an der Supermarktkasse. Sie möchte nicht lange warten und wechselt in eine kürzere Schlange. (2) Nach einer Weile sagt Karin zu Lisa: Ach Mist, jetzt wären wir in der anderen Schlange doch schneller gewesen! (3) Lisa antwortet: Tja, Ungeduld hat eben häufig Schuld. (4) Karin erwidert: Du hast Recht.;Warum sagt Lisa „Ungeduld hat häufig Schuld“?;Weil Lisa denkt, dass sie sich voreilig in den Reihen umgestellt haben und deswegen nun mehr Zeit brauchen. ;Weil Lisa denkt, dass es sich gelohnt hat, sich in die andere Reihe zu stellen.;Weil Lisa denkt, dass man oft Falsches tut, wenn man nicht ausdauernd ist.;Weil Lisa denkt, dass Karin jetzt bestraft wird. ;Weil Lisa denkt, dass Karin von einer Schlange gebissen wurde.;Weil Lisa denkt, dass sie Schokoeis einkaufen sollten. ;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
18;Güter brauchen Hüter;(1) Susi berichtet ihrer Freundin Maria, dass ihr Fahrrad gestohlen wurde. Sie hatte es am helllichten Tage vor ihrer Haustür abgestellt und vergessen abzuschließen. (2) Susi regt sich darüber auf: „Da habe ich einmal vergessen, mein Fahrrad abzuschließen oder darauf aufzupassen und schon ist es weg!“ (3) Maria antwortet: „Tja, Güter brauchen eben Hüter!“ (4) Susi: „Das stimmt!”;Warum sagt Maria „Güter brauchen eben Hüter“?;Weil Maria glaubt, dass Susi besser auf ihre Wertsachen aufpassen müsste.;Weil Maria glaubt, dass Susi ihre teuren Gegenstände nicht zu schützen braucht. ;Weil Maria glaubt, dass Schutzbeauftragte nötig sind.;Weil Maria glaubt, dass manche Dinge wertvoll sind. ;Weil Maria glaubt, dass Susi ihr Fahrrad blau lackieren soll.;Weil Maria glaubt, dass es besser ist, Auto zu fahren.;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
19;Gut gemeint wird oft beweint;(1) Richard berichtet seinem Freund Luis, dass er seinem kranken Nachbarn Klaus helfen wollte und ihm eine Tomaten-Lasagne gekocht hatte. Doch Klaus hat eine Tomatenallergie, was Richard vorher nicht wusste. (2) Richard sagt zu Luis: „Dabei wollte ich ihm doch nur helfen und jetzt wirke ich total unhöflich.“ (3) Luis antwortet: „Tja, gut gemeint, wird eben oft beweint!“ (4) Richard antwortet: „Ja, das stimmt!“;Warum sagt Luis „Gut gemeint wird eben oft beweint“?;Weil Luis glaubt, dass die Tomaten Lasagne eine liebe Idee war, die dennoch negative Auswirkungen hatte.;Weil Luis glaubt, dass das Nudelgericht eine sehr nette, hilfreiche Geste war. ;Weil Luis glaubt, dass lieb gemeinte Handlungen häufig zu Tränen führen.;Weil Luis glaubt, dass Hilfsbereitschaft wichtig ist.;Weil Luis glaubt, dass Tomaten Nachtschattengewächse sind.;Weil Luis glaubt, dass italienische Gerichte lecker schmecken.;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
20;Wer den Karren in den Dreck geschoben hat, soll den Karren auch herausziehen;(1) Hans erzählt seinem Freund Moritz, dass er einen Fehler gemacht hat. Er hat ein Paar Kopfhörer aus einem Elektrogeschäft gestohlen. (2) Nun bittet Hans Moritz: „Moritz kannst Du bitte die Kopfhörer für mich zurückbringen? Ich traue mich nicht“. (3) Moritz antwortet: „Wer den Karren in den Dreck geschoben hat, soll den Karren auch wieder herausziehen.“ (4) Hans erwidert: „Ja okay, Du hast Recht.”;Warum sagt Moritz „Wer den Karren in den Dreck geschoben hat, soll den Karren auch herausziehen“?;Weil Moritz denkt, dass Hans selbst seinen Diebstahl ausgleichen muss. ;Weil Moritz denkt, dass er selbst in den Laden gehen muss, um den geklauten Artikel zurückzubringen.;Weil Moritz denkt, dass Hans den Wagen wieder aus dem Matsch fahren muss. ;Weil Moritz denkt, dass Fahrzeuge schnell schmutzig werden.;Weil Moritz denkt, dass Elektrogeschäfte viel Strom verbrauchen.;Weil Moritz denkt, dass Hans sich einen Fernseher kaufen muss.;
21;Der Glaube versetzt Berge;(1) Für ein anstehendes Wettrennen hat Laura nicht genug trainiert. Ihre Freundin Maja sagt ihr aber immer wieder, dass sie die Beste ist, sodass Laura fest entschlossen ist und das Wettrennen gewinnt. (2) Laura sagt danach zu Maja: Trotz des wenigen Trainings habe ich gewonnen. (3) Maja sagt darauf: Der Glaube versetzt Berge. (4) Laura antwortet: Da stimme ich dir zu.;Warum sagt Maja ,,Der Glaube versetzt Berge”?;Weil Maja meint, dass Laura gesiegt hat, weil Laura überzeugt von ihren Leistungen ist.;Weil Maja meint, dass Laura auch ohne Selbstvertrauen gewonnen hätte.;Weil Maja meint, dass Laura mit ihren Gedanken Felsmassive verschieben kann. ;Weil Maja meint, dass sich Felsmassive bewegen. ;Weil Maja mein, dass Wettrennen öffentlich organisiert sind.;Weil Maja meint, dass Laufschuhe bequem sind.;
22;Wo Rauch ist, ist auch Feuer;(1) Der Supermarkt in Sandras Wohngegend bietet immer weniger Artikel an. Ihr Freund Sebastian hat gehört, dass der Supermarkt bald schließen wird, aber Sandra kann das nicht glauben. (2) Eine Woche später sagt Sandra zu Sebastian: Der Supermarkt ist nun wirklich geschlossen. (3) Sebastian sagt: Wo Rauch ist, ist eben auch Feuer. (4) Sandra erwidert: Da liegst du wohl richtig.;Warum sagt Sebastian ,,Wo Rauch ist, ist eben auch Feuer”?;Weil Sebastian der Meinung ist, dass die Ursache des Gerüchts die tatsächliche Auflösung des Geschäfts war.;Weil Sebastian der Meinung ist, dass die Gerüchte um die Auflösung des Geschäfts unbegründet waren.;Weil Sebastian der Meinung ist, dass es brennt, wenn dunkler Dampf zu sehen ist.;Weil Sebastian der Meinung ist, dass Warenhäuser brennen können.;Weil Sebastian der Meinung ist, dass es in Supermärkten Einkaufswagen gibt.;Weil Sebastian der Meinung ist, dass Kassierer freundliche Menschen sind.;
23;Qualität geht über Quantität;(1) Gerade als sich Markus für ein Paar Stiefel entscheiden wollte, sieht er welche, die nur halb so viel Geld kosten und kauft sich diese Stiefel gleich zwei Mal. (2) Markus sagt am nächsten Tag zu Lukas: Sieh nur, die Sohle löst sich schon von meinen neuen Stiefeln. (3) Lukas antwortet: Qualität geht eben über Quantität. (4) Markus erwidert: Das scheint wohl zu stimmen.;Warum sagt Lukas „Qualität geht eben über Quantität“?;Weil Lukas denkt, dass ein paar gute Schuhe länger halten, als zwei Paar billigere Schuhe.;Weil Lukas denkt, dass die billigen Schuhe besser verarbeitet sind und lange halten.;Weil Lukas denkt, dass gute Eigenschaften über eine Anzahl hinweg laufen.;Weil Lukas denkt, dass Eigenschaften schnell laufen können.;Weil Lukas denkt, dass Markus farblich passende Schnürsenkel für seine Stiefel benötigt.;Weil Lukas denkt, dass Markus neue Hosen braucht.;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
24;Viele Wege führen nach Rom;(1) Hannah und Linda machen zusammen ihre Mathe-Hausaufgaben. Hannah hat die letzte Unterrichtsstunde in Mathematik verpasst und löst die Hausaufgabe daher anders als Linda. (2) Hannah sagt zu Linda: Sieh nur, ich habe einen ganz anderen Lösungsweg als du, aber dieselbe Lösung. (3) Linda sagt daraufhin: Viele Wege führen nach Rom. (4) Hannah erwidert: Das stimmt.;Warum sagt Linda ,,Viele Wege führen nach Rom”?;Weil Linda glaubt, dass auch die Rechenschritte von Hannah zu dem richtigen Ergebnis führen können.;Weil Linda glaubt, dass man das richtige Ergebnis nur auf eine Art berechnen kann.;Weil Linda glaubt, dass Hannah auf unterschiedlichen Straßen die italienische Hauptstadt erreichen kann.;Weil Linda glaubt, dass man auf kleinen Straßen auch sein Ziel erreicht.;Weil Linda glaubt, dass Mathematik eine Wissenschaft ist.;Weil Linda glaubt, dass in Italien niemand Auto fährt.;
25;Wo ein Wille ist, ist auch ein Weg;(1) Marc spricht mit seinem Freund Björn über ihren wöchentlichen Tanzkurs. Marc war nach dem Treffen der letzten Woche unzufrieden mit seiner Leistung im Kurs. (2) Marc fragt Björn: Denkst du, ich werde jemals ein guter Tänzer? (3) Björn antwortet: Wo ein Wille ist, ist auch ein Weg. (4) Marc daraufhin: Das stimmt wohl.;Warum sagt Björn „Wo ein Wille ist, ist auch ein Weg“?;Weil Björn glaubt, dass Marcs Streben nach Erfolg bestimmen wird, ob er ein guter Tänzer wird.;Weil Björn glaubt, dass Marc das Talent fehlt, um Erfolg beim Tanzen zu haben.;Weil Björn glaubt, dass Marc selbst keinen Pfad anlegen muss, sondern nur die Absicht danach äußern muss.;Weil Björn glaubt, dass an allen Orten wo sich Marc etwas wünscht, automatisch ein Pfad entsteht.;Weil Björn glaubt, das Marc am liebsten zu Hip Hop tanzt.;Weil Björn glaubt, dass Marc am Wochenende singen sollte.;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
26;Rom wurde nicht an einem Tag erbaut;(1) Luisa spricht mit ihrer Mutter Birgit über Schulnoten. Luisa lernt seit Kurzem sehr viel um ihre schlechten Noten aufzubessern und hat heute eine mittelmäßige Note erhalten. (2) Luisa fragt ihre Mutter Birgit: Wird meine Anstrengung auch irgendwann einmal mit einer guten Note belohnt werden? (3) Birgit antwortet: Rom wurde nicht an einem Tag erbaut. (4) Luisa erwidert: Das ist wohl wahr.;Warum sagt Birgit “Rom wurde nicht an einem Tag erbaut“?;Weil Birgit denkt, dass Luisa eine gute Note erhalten wird, solang sie weiterhin viel lernt.;Weil Birgit denkt, dass Luisa auch in Zukunft keine gute Note erhalten wird.;Weil Birgit denkt, dass es länger als einen Tag gedauert hat um die italienische Hauptstadt zu errichten.;Weil Birgit denkt, dass Luisa weiter an der italienischen Hauptstadt bauen soll.;Weil Birgit denkt, dass die Schule ein schöner Ort ist.;Weil Birgit denkt, dass Venedig viele Brücken hat.;
27;Besser spät als nie;(1) Franz unterhält sich mit seinem Mitbewohner Tobias über das Fußballspiel des vergangen Abends. Das Spiel blieb lange ereignislos, bis in der letzten Spielminute ein Tor gefallen ist. (2) Franz sagt zu Tobias: Erst durch dieses Tor wurde das Spiel noch sehenswert. (3) Tobias entgegnet: Besser spät als nie. (4) Franz antwortet: Da hast du Recht.;Warum sagt Franz „Besser spät als nie.“? ;Weil Franz denkt, dass es gut ist, dass das Tor am Ende des Spiels die Partie noch aufgewertet hat.;Weil Franz denkt, dass das Fußballspiel langweilig war, trotz des Tores am Ende.;Weil Franz denkt, dass zeitlich verzögerte Ereignisse besser sind, als solche, die nie passieren.;Weil Franz denkt, dass man Fußballspiele auf die Nacht verschieben sollte, statt sie ausfallen zu lassen.;Weil Franz denkt, dass Fußballspieler häufig trainieren.;Weil Franz denkt, dass sein Rasen gewässert werden sollte.;Metaphernarmes Sprichwort! A1 und A3 prinzipiell beide korrekt wählbar im Sinne der Aufgabenstellung.
28;Viele Hände zerreißen die Wände;(1) Paul und Richard haben gemeinsam eine Firma gegründet. Sie haben kürzlich eine hohe Anzahl an Mitarbeitern eingestellt, die jedoch auf sehr chaotische Weise zusammenarbeiten. (2) Paul sagt zu Richard: Die Firma erzielt trotz der neuen Mitarbeiter keine besseren Ergebnisse. (3) Richard antwortet: Tja, viele Hände zerreißen die Wände. (4) Paul daraufhin: Natürlich, das ist wahr.;Warum sagt Richard: „Viele Hände zerreißen die Wände.“?;Weil Richard denkt, dass oft schlechte Resultate entstehen, wenn zahlreiche Angestellte zusammenarbeiten.;Weil Richard denkt, dass sich noch mehr Angestellte mit den Projekten des Unternehmens befassen sollen.;Weil Richard denkt, dass Finger häufig Mauern zerstören.;Weil Richard denkt, dass Häuser leicht zerstört werden können.;Weil Richard denkt, dass die Angestellten alle gut frisiert sind.;Weil Richard denkt, dass Aktien an der Börse gehandelt werden.;